/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-22 12:10:07:739 0 sec: 0 operations; est completion in 0 second 
2020-03-22 12:10:17:723 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:10:27:723 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-22 12:10:37:723 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:10:47:723 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-22 12:10:57:723 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:11:07:723 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:11:17:723 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:11:27:723 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:11:37:723 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:11:47:723 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 12:11:57:723 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-22 12:12:07:722 2 sec: 422 operations; 42.2 current ops/sec; est completion in 13 hours 35 minutes [READ: Count=422, Max=7299, Min=4200, Avg=4723.53, 90=5099, 99=5995, 99.9=7299, 99.99=7299] 
2020-03-22 12:12:17:723 12 sec: 2559 operations; 213.7 current ops/sec; est completion in 13 hours 5 minutes [READ: Count=2137, Max=9271, Min=3888, Avg=4640.76, 90=4875, 99=5051, 99.9=5187, 99.99=9271] 
2020-03-22 12:12:27:723 22 sec: 4752 operations; 219.3 current ops/sec; est completion in 12 hours 53 minutes [READ: Count=2194, Max=11727, Min=3968, Avg=4528.62, 90=4747, 99=4939, 99.9=5135, 99.99=11727] 
2020-03-22 12:12:37:723 32 sec: 6931 operations; 217.9 current ops/sec; est completion in 12 hours 50 minutes [READ: Count=2178, Max=8655, Min=4002, Avg=4567.58, 90=4747, 99=4887, 99.9=4983, 99.99=8655] 
2020-03-22 12:12:47:723 42 sec: 9107 operations; 217.6 current ops/sec; est completion in 12 hours 49 minutes [READ: Count=2176, Max=11095, Min=4074, Avg=4578.89, 90=4739, 99=4923, 99.9=4995, 99.99=11095] 
2020-03-22 12:12:57:722 52 sec: 11290 operations; 218.3 current ops/sec; est completion in 12 hours 47 minutes [READ: Count=2183, Max=9999, Min=4124, Avg=4563.7, 90=4715, 99=4911, 99.9=5119, 99.99=9999] 
2020-03-22 12:13:07:723 62 sec: 13519 operations; 222.9 current ops/sec; est completion in 12 hours 44 minutes [READ: Count=2230, Max=12191, Min=3850, Avg=4472.42, 90=4703, 99=4899, 99.9=5059, 99.99=12191] 
2020-03-22 12:13:17:723 72 sec: 15706 operations; 218.7 current ops/sec; est completion in 12 hours 43 minutes [READ: Count=2187, Max=16623, Min=3824, Avg=4557.69, 90=4739, 99=4927, 99.9=8575, 99.99=16623] 
2020-03-22 12:13:27:723 82 sec: 17900 operations; 219.4 current ops/sec; est completion in 12 hours 42 minutes [READ: Count=2193, Max=6663, Min=4022, Avg=4544.19, 90=4707, 99=4887, 99.9=5011, 99.99=6663] 
2020-03-22 12:13:37:723 92 sec: 20081 operations; 218.1 current ops/sec; est completion in 12 hours 42 minutes [READ: Count=2181, Max=6815, Min=4104, Avg=4568.73, 90=4735, 99=4903, 99.9=5011, 99.99=6815] 
2020-03-22 12:13:47:723 102 sec: 22291 operations; 221 current ops/sec; est completion in 12 hours 41 minutes [READ: Count=2210, Max=6779, Min=4000, Avg=4511.15, 90=4695, 99=4867, 99.9=4983, 99.99=6779] 
2020-03-22 12:13:57:723 112 sec: 24464 operations; 217.3 current ops/sec; est completion in 12 hours 41 minutes [READ: Count=2173, Max=6839, Min=4136, Avg=4585.81, 90=4735, 99=4903, 99.9=5027, 99.99=6839] 
