/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-27 14:52:41:870 0 sec: 0 operations; est completion in 0 second 
2020-03-27 14:52:51:854 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:53:01:853 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-27 14:53:11:854 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-27 14:53:21:853 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:53:31:853 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:53:41:853 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:53:51:853 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:54:01:854 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:54:11:854 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:54:21:854 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:54:31:854 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:54:41:854 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:54:51:854 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-27 14:55:01:853 7 sec: 45 operations; 4.5 current ops/sec; est completion in 18 days 8 hours [SCAN: Count=45, Max=328447, Min=16736, Avg=154593.78, 90=279039, 99=328447, 99.9=328447, 99.99=328447] 
2020-03-27 14:55:11:853 17 sec: 111 operations; 6.6 current ops/sec; est completion in 17 days 20 hours [SCAN: Count=66, Max=322047, Min=15920, Avg=151572.42, 90=288511, 99=322047, 99.9=322047, 99.99=322047] 
2020-03-27 14:55:21:854 27 sec: 167 operations; 5.6 current ops/sec; est completion in 18 days 19 hours [SCAN: Count=56, Max=321535, Min=16000, Avg=180173.93, 90=304639, 99=321535, 99.9=321535, 99.99=321535] 
2020-03-27 14:55:31:853 37 sec: 224 operations; 5.7 current ops/sec; est completion in 19 days 4 hours [SCAN: Count=57, Max=320767, Min=15896, Avg=174328.42, 90=319487, 99=320767, 99.9=320767, 99.99=320767] 
2020-03-27 14:55:41:853 47 sec: 279 operations; 5.5 current ops/sec; est completion in 19 days 13 hours [SCAN: Count=55, Max=321791, Min=15608, Avg=180118.04, 90=318207, 99=321791, 99.9=321791, 99.99=321791] 
2020-03-27 14:55:51:854 57 sec: 339 operations; 6 current ops/sec; est completion in 19 days 12 hours [SCAN: Count=60, Max=319231, Min=15840, Avg=167025.6, 90=271359, 99=319231, 99.9=319231, 99.99=319231] 
2020-03-27 14:56:01:853 67 sec: 409 operations; 7 current ops/sec; est completion in 18 days 23 hours [SCAN: Count=70, Max=318207, Min=15808, Avg=143197.94, 90=269567, 99=318207, 99.9=318207, 99.99=318207] 
2020-03-27 14:56:11:853 77 sec: 470 operations; 6.1 current ops/sec; est completion in 18 days 23 hours [SCAN: Count=61, Max=330495, Min=15872, Avg=164963.54, 90=301823, 99=330495, 99.9=330495, 99.99=330495] 
2020-03-27 14:56:21:854 87 sec: 528 operations; 5.8 current ops/sec; est completion in 19 days 2 hours [SCAN: Count=58, Max=318207, Min=15896, Avg=169841.59, 90=302079, 99=318207, 99.9=318207, 99.99=318207] 
2020-03-27 14:56:31:854 97 sec: 587 operations; 5.9 current ops/sec; est completion in 19 days 3 hours [SCAN: Count=59, Max=317951, Min=15968, Avg=169701.63, 90=269567, 99=317951, 99.9=317951, 99.99=317951] 
2020-03-27 14:56:41:853 107 sec: 648 operations; 6.1 current ops/sec; est completion in 19 days 3 hours [SCAN: Count=61, Max=323327, Min=15712, Avg=164457.38, 90=284927, 99=323327, 99.9=323327, 99.99=323327] 
2020-03-27 14:56:51:854 117 sec: 704 operations; 5.6 current ops/sec; est completion in 19 days 6 hours [SCAN: Count=56, Max=318719, Min=15832, Avg=176628.5, 90=312831, 99=318719, 99.9=318719, 99.99=318719] 
2020-03-27 14:57:01:853 127 sec: 768 operations; 6.4 current ops/sec; est completion in 19 days 3 hours [SCAN: Count=64, Max=318207, Min=15936, Avg=159019.12, 90=301311, 99=318207, 99.9=318207, 99.99=318207] 
2020-03-27 14:57:11:853 137 sec: 821 operations; 5.3 current ops/sec; est completion in 19 days 7 hours [SCAN: Count=53, Max=316671, Min=15896, Avg=187885.96, 90=300543, 99=316671, 99.9=316671, 99.99=316671] 
2020-03-27 14:57:21:854 147 sec: 880 operations; 5.9 current ops/sec; est completion in 19 days 8 hours [SCAN: Count=59, Max=317183, Min=15528, Avg=170343.25, 90=301055, 99=317183, 99.9=317183, 99.99=317183] 
2020-03-27 14:57:31:854 157 sec: 939 operations; 5.9 current ops/sec; est completion in 19 days 8 hours [SCAN: Count=59, Max=331007, Min=15800, Avg=168655.05, 90=316159, 99=331007, 99.9=331007, 99.99=331007] 
2020-03-27 14:57:41:854 167 sec: 1003 operations; 6.4 current ops/sec; est completion in 19 days 6 hours [SCAN: Count=64, Max=330239, Min=15872, Avg=154630.69, 90=285951, 99=330239, 99.9=330239, 99.99=330239] 
