/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-27 21:19:01:852 0 sec: 0 operations; est completion in 0 second 
2020-03-27 21:19:11:836 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:19:21:836 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-27 21:19:31:836 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-27 21:19:41:836 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:19:51:836 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:20:01:836 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:20:11:836 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:20:21:836 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:20:31:836 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:20:41:836 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:20:51:836 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:21:01:836 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 21:21:11:836 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-27 21:21:21:836 6 sec: 18 operations; 1.8 current ops/sec; est completion in 42 days 23 hours [SCAN: Count=18, Max=624127, Min=16144, Avg=342128.67, 90=623103, 99=624127, 99.9=624127, 99.99=624127] 
2020-03-27 21:21:31:836 16 sec: 47 operations; 2.9 current ops/sec; est completion in 41 days 2 hours [SCAN: Count=29, Max=626687, Min=31824, Avg=355032.55, 90=589823, 99=626687, 99.9=626687, 99.99=626687] 
2020-03-27 21:21:41:836 26 sec: 81 operations; 3.4 current ops/sec; est completion in 38 days 3 hours [SCAN: Count=34, Max=587263, Min=15896, Avg=297354.12, 90=544767, 99=587263, 99.9=587263, 99.99=587263] 
2020-03-27 21:21:51:836 36 sec: 118 operations; 3.7 current ops/sec; est completion in 35 days 23 hours [SCAN: Count=37, Max=604159, Min=31856, Avg=266036.97, 90=535039, 99=604159, 99.9=604159, 99.99=604159] 
2020-03-27 21:22:01:836 46 sec: 146 operations; 2.8 current ops/sec; est completion in 37 days [SCAN: Count=28, Max=639487, Min=15952, Avg=355865, 90=607743, 99=639487, 99.9=639487, 99.99=639487] 
2020-03-27 21:22:11:836 56 sec: 179 operations; 3.3 current ops/sec; est completion in 36 days 15 hours [SCAN: Count=33, Max=624639, Min=15656, Avg=298928.12, 90=586239, 99=624639, 99.9=624639, 99.99=624639] 
2020-03-27 21:22:21:836 66 sec: 210 operations; 3.1 current ops/sec; est completion in 36 days 18 hours [SCAN: Count=31, Max=630783, Min=15584, Avg=331046.32, 90=530943, 99=630783, 99.9=630783, 99.99=630783] 
2020-03-27 21:22:31:836 76 sec: 241 operations; 3.1 current ops/sec; est completion in 36 days 19 hours [SCAN: Count=31, Max=646143, Min=31568, Avg=325303.48, 90=584703, 99=646143, 99.9=646143, 99.99=646143] 
2020-03-27 21:22:41:836 86 sec: 272 operations; 3.1 current ops/sec; est completion in 36 days 21 hours [SCAN: Count=31, Max=624127, Min=47264, Avg=319473.55, 90=554495, 99=624127, 99.9=624127, 99.99=624127] 
2020-03-27 21:22:51:836 96 sec: 299 operations; 2.7 current ops/sec; est completion in 37 days 10 hours [SCAN: Count=27, Max=632319, Min=16016, Avg=372141.19, 90=600575, 99=632319, 99.9=632319, 99.99=632319] 
2020-03-27 21:23:01:836 106 sec: 330 operations; 3.1 current ops/sec; est completion in 37 days 9 hours [SCAN: Count=31, Max=628223, Min=31664, Avg=323385.03, 90=570367, 99=628223, 99.9=628223, 99.99=628223] 
2020-03-27 21:23:11:836 116 sec: 357 operations; 2.7 current ops/sec; est completion in 37 days 19 hours [SCAN: Count=27, Max=601599, Min=47712, Avg=357502.22, 90=584703, 99=601599, 99.9=601599, 99.99=601599] 
2020-03-27 21:23:21:836 126 sec: 392 operations; 3.5 current ops/sec; est completion in 37 days 9 hours [SCAN: Count=35, Max=633343, Min=15896, Avg=284489.94, 90=520191, 99=633343, 99.9=633343, 99.99=633343] 
2020-03-27 21:23:31:836 136 sec: 419 operations; 2.7 current ops/sec; est completion in 37 days 18 hours [SCAN: Count=27, Max=633855, Min=47392, Avg=379383.7, 90=615423, 99=633855, 99.9=633855, 99.99=633855] 
