/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-27 22:29:16:309 0 sec: 0 operations; est completion in 0 second 
2020-03-27 22:29:26:293 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:29:36:292 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-27 22:29:46:292 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-27 22:29:56:292 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:30:06:292 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:30:16:292 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:30:26:292 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:30:36:292 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:30:46:292 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:30:56:292 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:31:06:292 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:31:16:292 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 22:31:26:292 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-27 22:31:36:292 6 sec: 22 operations; 2.2 current ops/sec; est completion in 36 days 5 hours [SCAN: Count=22, Max=578559, Min=16064, Avg=302531.82, 90=545279, 99=578559, 99.9=578559, 99.99=578559] 
2020-03-27 22:31:46:292 16 sec: 51 operations; 2.9 current ops/sec; est completion in 38 days 7 hours [SCAN: Count=29, Max=637951, Min=31936, Avg=350186.21, 90=600575, 99=637951, 99.9=637951, 99.99=637951] 
2020-03-27 22:31:56:292 26 sec: 83 operations; 3.2 current ops/sec; est completion in 37 days 11 hours [SCAN: Count=32, Max=624127, Min=31776, Avg=311383.25, 90=528895, 99=624127, 99.9=624127, 99.99=624127] 
2020-03-27 22:32:06:292 36 sec: 111 operations; 2.8 current ops/sec; est completion in 38 days 11 hours [SCAN: Count=28, Max=608255, Min=15928, Avg=354471.29, 90=601599, 99=608255, 99.9=608255, 99.99=608255] 
2020-03-27 22:32:16:292 46 sec: 146 operations; 3.5 current ops/sec; est completion in 37 days 4 hours [SCAN: Count=35, Max=607743, Min=31424, Avg=273320.69, 90=512767, 99=607743, 99.9=607743, 99.99=607743] 
2020-03-27 22:32:26:292 56 sec: 176 operations; 3 current ops/sec; est completion in 37 days 9 hours [SCAN: Count=30, Max=635903, Min=62816, Avg=336550.4, 90=557055, 99=635903, 99.9=635903, 99.99=635903] 
2020-03-27 22:32:36:292 66 sec: 205 operations; 2.9 current ops/sec; est completion in 37 days 18 hours [SCAN: Count=29, Max=633855, Min=15904, Avg=355211.72, 90=592383, 99=633855, 99.9=633855, 99.99=633855] 
2020-03-27 22:32:46:292 76 sec: 230 operations; 2.5 current ops/sec; est completion in 38 days 16 hours [SCAN: Count=25, Max=646655, Min=31600, Avg=382441.92, 90=555007, 99=646655, 99.9=646655, 99.99=646655] 
2020-03-27 22:32:56:292 86 sec: 257 operations; 2.7 current ops/sec; est completion in 39 days 3 hours [SCAN: Count=27, Max=618495, Min=31344, Avg=372440.59, 90=615935, 99=618495, 99.9=618495, 99.99=618495] 
2020-03-27 22:33:06:292 96 sec: 287 operations; 3 current ops/sec; est completion in 39 days 1 hour [SCAN: Count=30, Max=644095, Min=31552, Avg=349487.2, 90=600575, 99=644095, 99.9=644095, 99.99=644095] 
2020-03-27 22:33:16:292 106 sec: 314 operations; 2.7 current ops/sec; est completion in 39 days 9 hours [SCAN: Count=27, Max=629759, Min=31488, Avg=353638.22, 90=552959, 99=629759, 99.9=629759, 99.99=629759] 
2020-03-27 22:33:26:292 116 sec: 354 operations; 4 current ops/sec; est completion in 38 days 5 hours [SCAN: Count=40, Max=633855, Min=31536, Avg=258817, 90=568319, 99=633855, 99.9=633855, 99.99=633855] 
2020-03-27 22:33:36:292 126 sec: 383 operations; 2.9 current ops/sec; est completion in 38 days 8 hours [SCAN: Count=29, Max=632831, Min=15744, Avg=341141.1, 90=601087, 99=632831, 99.9=632831, 99.99=632831] 
2020-03-27 22:33:46:292 136 sec: 413 operations; 3 current ops/sec; est completion in 38 days 8 hours [SCAN: Count=30, Max=632319, Min=15800, Avg=328662.8, 90=586751, 99=632319, 99.9=632319, 99.99=632319] 
