/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-27 20:08:46:753 0 sec: 0 operations; est completion in 0 second 
2020-03-27 20:08:56:736 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:09:06:736 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-27 20:09:16:736 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-27 20:09:26:736 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:09:36:736 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:09:46:736 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:09:56:736 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:10:06:736 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:10:16:736 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:10:26:736 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:10:36:736 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:10:46:736 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 20:10:56:736 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-27 20:11:06:736 7 sec: 24 operations; 2.4 current ops/sec; est completion in 33 days 23 hours [SCAN: Count=24, Max=485631, Min=16200, Avg=287686.17, 90=453375, 99=485631, 99.9=485631, 99.99=485631] 
2020-03-27 20:11:16:736 17 sec: 58 operations; 3.4 current ops/sec; est completion in 34 days [SCAN: Count=34, Max=484607, Min=48544, Avg=292482.82, 90=467199, 99=484607, 99.9=484607, 99.99=484607] 
2020-03-27 20:11:26:736 27 sec: 98 operations; 4 current ops/sec; est completion in 31 days 22 hours [SCAN: Count=40, Max=482303, Min=48000, Avg=251395.2, 90=435199, 99=482303, 99.9=482303, 99.99=482303] 
2020-03-27 20:11:36:736 37 sec: 140 operations; 4.2 current ops/sec; est completion in 30 days 15 hours [SCAN: Count=42, Max=483071, Min=15992, Avg=238410, 90=417023, 99=483071, 99.9=483071, 99.99=483071] 
2020-03-27 20:11:46:736 47 sec: 182 operations; 4.2 current ops/sec; est completion in 29 days 22 hours [SCAN: Count=42, Max=486655, Min=15712, Avg=239617.62, 90=434687, 99=486655, 99.9=486655, 99.99=486655] 
2020-03-27 20:11:56:736 57 sec: 222 operations; 4 current ops/sec; est completion in 29 days 17 hours [SCAN: Count=40, Max=478975, Min=15912, Avg=241783, 90=398847, 99=478975, 99.9=478975, 99.99=478975] 
2020-03-27 20:12:06:736 67 sec: 262 operations; 4 current ops/sec; est completion in 29 days 14 hours [SCAN: Count=40, Max=479231, Min=15792, Avg=252679.8, 90=428543, 99=479231, 99.9=479231, 99.99=479231] 
2020-03-27 20:12:16:736 77 sec: 299 operations; 3.7 current ops/sec; est completion in 29 days 19 hours [SCAN: Count=37, Max=475135, Min=15952, Avg=275575.46, 90=443647, 99=475135, 99.9=475135, 99.99=475135] 
2020-03-27 20:12:26:736 87 sec: 347 operations; 4.8 current ops/sec; est completion in 29 days [SCAN: Count=48, Max=456703, Min=15856, Avg=208467.83, 90=413439, 99=456703, 99.9=456703, 99.99=456703] 
2020-03-27 20:12:36:736 97 sec: 386 operations; 3.9 current ops/sec; est completion in 29 days 2 hours [SCAN: Count=39, Max=459263, Min=31584, Avg=255615.38, 90=427775, 99=459263, 99.9=459263, 99.99=459263] 
2020-03-27 20:12:46:736 107 sec: 428 operations; 4.2 current ops/sec; est completion in 28 days 22 hours [SCAN: Count=42, Max=473343, Min=15928, Avg=238403.52, 90=427519, 99=473343, 99.9=473343, 99.99=473343] 
2020-03-27 20:12:56:736 117 sec: 471 operations; 4.3 current ops/sec; est completion in 28 days 18 hours [SCAN: Count=43, Max=475647, Min=15872, Avg=223501.95, 90=411647, 99=475647, 99.9=475647, 99.99=475647] 
2020-03-27 20:13:06:736 127 sec: 511 operations; 4 current ops/sec; est completion in 28 days 18 hours [SCAN: Count=40, Max=476159, Min=15720, Avg=252405.3, 90=437247, 99=476159, 99.9=476159, 99.99=476159] 
2020-03-27 20:13:16:736 137 sec: 550 operations; 3.9 current ops/sec; est completion in 28 days 20 hours [SCAN: Count=39, Max=475647, Min=15744, Avg=263046.26, 90=428543, 99=475647, 99.9=475647, 99.99=475647] 
2020-03-27 20:13:26:736 147 sec: 592 operations; 4.2 current ops/sec; est completion in 28 days 17 hours [SCAN: Count=42, Max=474623, Min=15856, Avg=237232.29, 90=412159, 99=474623, 99.9=474623, 99.99=474623] 
2020-03-27 20:13:36:736 157 sec: 633 operations; 4.1 current ops/sec; est completion in 28 days 17 hours [SCAN: Count=41, Max=472831, Min=15816, Avg=236516.88, 90=380159, 99=472831, 99.9=472831, 99.99=472831] 
2020-03-27 20:13:46:736 167 sec: 673 operations; 4 current ops/sec; est completion in 28 days 17 hours [SCAN: Count=40, Max=479231, Min=47744, Avg=258018.4, 90=411647, 99=479231, 99.9=479231, 99.99=479231] 
2020-03-27 20:13:56:736 177 sec: 711 operations; 3.8 current ops/sec; est completion in 28 days 19 hours [SCAN: Count=38, Max=474367, Min=15576, Avg=259678, 90=443903, 99=474367, 99.9=474367, 99.99=474367] 
2020-03-27 20:14:06:736 187 sec: 752 operations; 4.1 current ops/sec; est completion in 28 days 18 hours [SCAN: Count=41, Max=475135, Min=15688, Avg=242567.02, 90=418303, 99=475135, 99.9=475135, 99.99=475135] 
2020-03-27 20:14:16:736 197 sec: 792 operations; 4 current ops/sec; est completion in 28 days 19 hours [SCAN: Count=40, Max=475903, Min=31680, Avg=249664, 90=458751, 99=475903, 99.9=475903, 99.99=475903] 
2020-03-27 20:14:26:736 207 sec: 833 operations; 4.1 current ops/sec; est completion in 28 days 18 hours [SCAN: Count=41, Max=456703, Min=15848, Avg=246006.34, 90=426239, 99=456703, 99.9=456703, 99.99=456703] 
2020-03-27 20:14:36:743 217 sec: 872 operations; 3.9 current ops/sec; est completion in 28 days 19 hours [SCAN: Count=39, Max=474879, Min=15824, Avg=256636.82, 90=460031, 99=474879, 99.9=474879, 99.99=474879] 
