/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-27 13:42:27:609 0 sec: 0 operations; est completion in 0 second 
2020-03-27 13:42:37:592 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:42:47:592 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-27 13:42:57:592 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-27 13:43:07:592 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:43:17:592 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:43:27:592 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:43:37:592 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:43:47:592 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:43:57:592 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:44:07:592 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:44:17:592 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:44:27:592 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 13:44:37:592 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-27 13:44:47:592 6 sec: 77 operations; 7.7 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=77, Max=164863, Min=15888, Avg=86759.01, 90=149759, 99=164863, 99.9=164863, 99.99=164863] 
2020-03-27 13:44:57:592 16 sec: 183 operations; 10.6 current ops/sec; est completion in 10 days 14 hours [SCAN: Count=106, Max=164479, Min=15960, Avg=94088.42, 90=159487, 99=163583, 99.9=164479, 99.99=164479] 
2020-03-27 13:45:07:592 26 sec: 301 operations; 11.8 current ops/sec; est completion in 10 days 7 hours [SCAN: Count=118, Max=160895, Min=15568, Avg=85071.36, 90=159103, 99=160767, 99.9=160895, 99.99=160895] 
2020-03-27 13:45:17:592 36 sec: 413 operations; 11.2 current ops/sec; est completion in 10 days 7 hours [SCAN: Count=112, Max=171519, Min=15848, Avg=88862.46, 90=159231, 99=160895, 99.9=171519, 99.99=171519] 
2020-03-27 13:45:27:592 46 sec: 531 operations; 11.8 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=118, Max=161151, Min=15752, Avg=84973.8, 90=145023, 99=160511, 99.9=161151, 99.99=161151] 
2020-03-27 13:45:37:592 56 sec: 652 operations; 12.1 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=121, Max=161279, Min=15632, Avg=82011.8, 90=144895, 99=161279, 99.9=161279, 99.99=161279] 
2020-03-27 13:45:47:592 66 sec: 764 operations; 11.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=112, Max=169215, Min=15648, Avg=89234.64, 90=143359, 99=159487, 99.9=169215, 99.99=169215] 
2020-03-27 13:45:57:592 76 sec: 873 operations; 10.9 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=109, Max=160127, Min=15656, Avg=92194.83, 90=158079, 99=159615, 99.9=160127, 99.99=160127] 
2020-03-27 13:46:07:592 86 sec: 979 operations; 10.6 current ops/sec; est completion in 10 days 6 hours [SCAN: Count=106, Max=165503, Min=15576, Avg=93971.43, 90=158335, 99=158847, 99.9=165503, 99.99=165503] 
2020-03-27 13:46:17:592 96 sec: 1100 operations; 12.1 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=121, Max=158591, Min=15640, Avg=82894.71, 90=142591, 99=158463, 99.9=158591, 99.99=158591] 
2020-03-27 13:46:27:592 106 sec: 1211 operations; 11.1 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=111, Max=171391, Min=15592, Avg=90206.23, 90=143487, 99=159359, 99.9=171391, 99.99=171391] 
2020-03-27 13:46:37:592 116 sec: 1321 operations; 11 current ops/sec; est completion in 10 days 5 hours [SCAN: Count=110, Max=158847, Min=15776, Avg=89917.56, 90=157951, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 13:46:47:592 126 sec: 1433 operations; 11.2 current ops/sec; est completion in 10 days 5 hours [SCAN: Count=112, Max=159231, Min=15568, Avg=89947.25, 90=154495, 99=158847, 99.9=159231, 99.99=159231] 
