/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 06:26:50:029 0 sec: 0 operations; est completion in 0 second 
2020-03-23 06:27:00:012 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 06:27:10:011 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 06:27:20:011 1 sec: 128 operations; 12.8 current ops/sec; est completion in 1 day 5 hours [READ: Count=128, Max=14879, Min=9568, Avg=10129.38, 90=10407, 99=14631, 99.9=14879, 99.99=14879] 
2020-03-23 06:27:30:011 11 sec: 1144 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=20031, Min=9168, Avg=9792.29, 90=9983, 99=10479, 99.9=11647, 99.99=20031] 
2020-03-23 06:27:40:011 21 sec: 2155 operations; 101.1 current ops/sec; est completion in 1 day 3 hours [READ: Count=1011, Max=20031, Min=9240, Avg=9852.68, 90=10015, 99=10519, 99.9=15879, 99.99=20031] 
2020-03-23 06:27:50:011 31 sec: 3169 operations; 101.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1014, Max=10223, Min=9152, Avg=9824.84, 90=10015, 99=10159, 99.9=10215, 99.99=10223] 
2020-03-23 06:28:00:011 41 sec: 4183 operations; 101.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1014, Max=16671, Min=9168, Avg=9825.65, 90=10039, 99=10175, 99.9=11375, 99.99=16671] 
2020-03-23 06:28:10:011 51 sec: 5196 operations; 101.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1013, Max=10639, Min=9376, Avg=9838.65, 90=10031, 99=10151, 99.9=10559, 99.99=10639] 
2020-03-23 06:28:20:012 61 sec: 6209 operations; 101.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1013, Max=12767, Min=9344, Avg=9842.92, 90=10031, 99=10127, 99.9=10487, 99.99=12767] 
2020-03-23 06:28:30:011 71 sec: 7228 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=10231, Min=9256, Avg=9790.03, 90=10007, 99=10095, 99.9=10167, 99.99=10231] 
2020-03-23 06:28:40:012 81 sec: 8238 operations; 101 current ops/sec; est completion in 1 day 3 hours [READ: Count=1010, Max=10663, Min=9392, Avg=9885.43, 90=10031, 99=10207, 99.9=10631, 99.99=10663] 
2020-03-23 06:28:50:011 91 sec: 9248 operations; 101 current ops/sec; est completion in 1 day 3 hours [READ: Count=1010, Max=16127, Min=9352, Avg=9877.11, 90=10031, 99=10111, 99.9=10199, 99.99=16127] 
2020-03-23 06:29:00:011 101 sec: 10258 operations; 101 current ops/sec; est completion in 1 day 3 hours [READ: Count=1011, Max=10735, Min=9408, Avg=9879.41, 90=10023, 99=10119, 99.9=10447, 99.99=10735] 
2020-03-23 06:29:10:012 111 sec: 11268 operations; 101 current ops/sec; est completion in 1 day 3 hours [READ: Count=1009, Max=10487, Min=9400, Avg=9876.62, 90=10031, 99=10191, 99.9=10423, 99.99=10487] 
2020-03-23 06:29:20:011 121 sec: 12285 operations; 101.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1017, Max=10119, Min=9352, Avg=9819.93, 90=10007, 99=10079, 99.9=10119, 99.99=10119] 
2020-03-23 06:29:30:011 131 sec: 13295 operations; 101 current ops/sec; est completion in 1 day 3 hours [READ: Count=1010, Max=17135, Min=9400, Avg=9881.75, 90=10031, 99=10175, 99.9=10879, 99.99=17135] 
2020-03-23 06:29:40:011 141 sec: 14305 operations; 101 current ops/sec; est completion in 1 day 3 hours [READ: Count=1010, Max=10783, Min=9472, Avg=9881.67, 90=10031, 99=10183, 99.9=10551, 99.99=10783] 
2020-03-23 06:29:50:012 151 sec: 15321 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1017, Max=17295, Min=9336, Avg=9817.6, 90=10015, 99=10103, 99.9=10287, 99.99=17295] 
2020-03-23 06:30:00:011 161 sec: 16347 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20095, Min=9288, Avg=9735.57, 90=9855, 99=10111, 99.9=11991, 99.99=20095] 
2020-03-23 06:30:10:011 171 sec: 17376 operations; 102.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1029, Max=19903, Min=9080, Avg=9695.51, 90=9815, 99=10183, 99.9=19887, 99.99=19903] 
2020-03-23 06:30:20:011 181 sec: 18399 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20175, Min=9240, Avg=9763.9, 90=9831, 99=10167, 99.9=19951, 99.99=20175] 
2020-03-23 06:30:30:011 191 sec: 19419 operations; 102 current ops/sec; est completion in 1 day 3 hours [READ: Count=1020, Max=20191, Min=9384, Avg=9783.05, 90=9839, 99=10223, 99.9=20143, 99.99=20191] 
2020-03-23 06:30:40:011 201 sec: 20443 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=19967, Min=9376, Avg=9742.77, 90=9831, 99=10479, 99.9=19919, 99.99=19967] 
2020-03-23 06:30:50:011 211 sec: 21466 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20159, Min=9368, Avg=9758.16, 90=9823, 99=9999, 99.9=20127, 99.99=20159] 
2020-03-23 06:31:00:012 221 sec: 22492 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20063, Min=9176, Avg=9735.81, 90=9831, 99=10199, 99.9=20047, 99.99=20063] 
2020-03-23 06:31:10:011 231 sec: 23515 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20143, Min=9440, Avg=9754.63, 90=9831, 99=10255, 99.9=19983, 99.99=20143] 
2020-03-23 06:31:20:011 241 sec: 24537 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20111, Min=9264, Avg=9761.66, 90=9855, 99=9959, 99.9=20047, 99.99=20111] 
2020-03-23 06:31:30:011 251 sec: 25553 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=20063, Min=9432, Avg=9828.63, 90=9847, 99=11999, 99.9=20063, 99.99=20063] 
2020-03-23 06:31:40:011 261 sec: 26572 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20111, Min=9424, Avg=9792.27, 90=9839, 99=11719, 99.9=20095, 99.99=20111] 
2020-03-23 06:31:50:011 271 sec: 27591 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20175, Min=9400, Avg=9796.66, 90=9831, 99=11983, 99.9=20095, 99.99=20175] 
2020-03-23 06:32:00:011 281 sec: 28611 operations; 102 current ops/sec; est completion in 1 day 3 hours [READ: Count=1020, Max=20047, Min=9352, Avg=9782.22, 90=9847, 99=10239, 99.9=20031, 99.99=20047] 
2020-03-23 06:32:10:011 291 sec: 29635 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=19839, Min=9368, Avg=9745.99, 90=9855, 99=10359, 99.9=11967, 99.99=19839] 
2020-03-23 06:32:20:018 301 sec: 30655 operations; 102 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20111, Min=9368, Avg=9793.22, 90=9831, 99=11895, 99.9=20079, 99.99=20111] 
2020-03-23 06:32:30:011 311 sec: 31674 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20079, Min=9368, Avg=9788.72, 90=9839, 99=11735, 99.9=19983, 99.99=20079] 
2020-03-23 06:32:40:011 321 sec: 32715 operations; 104.1 current ops/sec; est completion in 1 day 3 hours [READ: Count=1041, Max=19935, Min=8984, Avg=9598.12, 90=9815, 99=10039, 99.9=11903, 99.99=19935] 
2020-03-23 06:32:50:011 331 sec: 33734 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20559, Min=9304, Avg=9795.29, 90=9831, 99=11999, 99.9=20207, 99.99=20559] 
2020-03-23 06:33:00:011 341 sec: 34756 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20271, Min=9072, Avg=9761.29, 90=9839, 99=11879, 99.9=20127, 99.99=20271] 
2020-03-23 06:33:10:011 351 sec: 35781 operations; 102.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20143, Min=9384, Avg=9738.19, 90=9839, 99=10151, 99.9=11887, 99.99=20143] 
2020-03-23 06:33:20:011 361 sec: 36797 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=20303, Min=9344, Avg=9827.6, 90=9847, 99=12111, 99.9=20143, 99.99=20303] 
2020-03-23 06:33:30:011 371 sec: 37820 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20079, Min=9408, Avg=9753.51, 90=9831, 99=10103, 99.9=19983, 99.99=20079] 
2020-03-23 06:33:40:011 381 sec: 38840 operations; 102 current ops/sec; est completion in 1 day 3 hours [READ: Count=1020, Max=20143, Min=9432, Avg=9786.39, 90=9847, 99=10663, 99.9=20127, 99.99=20143] 
2020-03-23 06:33:50:011 391 sec: 39862 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=19983, Min=9408, Avg=9767.73, 90=9839, 99=9935, 99.9=19983, 99.99=19983] 
2020-03-23 06:34:00:011 401 sec: 40883 operations; 102.1 current ops/sec; est completion in 1 day 3 hours [READ: Count=1021, Max=20175, Min=9376, Avg=9779.82, 90=9831, 99=10839, 99.9=20047, 99.99=20175] 
2020-03-23 06:34:10:011 411 sec: 41901 operations; 101.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20111, Min=9376, Avg=9797.87, 90=9831, 99=11975, 99.9=20047, 99.99=20111] 
2020-03-23 06:34:20:011 421 sec: 42924 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20079, Min=9376, Avg=9758.88, 90=9839, 99=9967, 99.9=19999, 99.99=20079] 
2020-03-23 06:34:30:011 431 sec: 43948 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=19855, Min=9368, Avg=9747.77, 90=9831, 99=9927, 99.9=19823, 99.99=19855] 
2020-03-23 06:34:40:011 441 sec: 44971 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20143, Min=9280, Avg=9754.47, 90=9823, 99=10495, 99.9=19983, 99.99=20143] 
2020-03-23 06:34:50:011 451 sec: 45990 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1018, Max=20127, Min=9352, Avg=9802.13, 90=9823, 99=11975, 99.9=20031, 99.99=20127] 
2020-03-23 06:35:00:011 461 sec: 47014 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20095, Min=9416, Avg=9741.92, 90=9823, 99=9911, 99.9=20047, 99.99=20095] 
2020-03-23 06:35:10:011 471 sec: 48034 operations; 102 current ops/sec; est completion in 1 day 3 hours [READ: Count=1020, Max=19967, Min=9288, Avg=9785.34, 90=9983, 99=10143, 99.9=12007, 99.99=19967] 
2020-03-23 06:35:20:011 481 sec: 49051 operations; 101.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1017, Max=11407, Min=9432, Avg=9820.22, 90=9999, 99=10095, 99.9=10271, 99.99=11407] 
2020-03-23 06:35:30:011 491 sec: 50072 operations; 102.1 current ops/sec; est completion in 1 day 3 hours [READ: Count=1021, Max=11855, Min=9328, Avg=9773.99, 90=9983, 99=10119, 99.9=10487, 99.99=11855] 
2020-03-23 06:35:40:011 501 sec: 51088 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=10551, Min=9512, Avg=9831.61, 90=10015, 99=10119, 99.9=10343, 99.99=10551] 
2020-03-23 06:35:50:011 511 sec: 52101 operations; 101.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1013, Max=11543, Min=9432, Avg=9848.29, 90=10023, 99=10103, 99.9=10247, 99.99=11543] 
2020-03-23 06:36:00:011 521 sec: 53117 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=11863, Min=9440, Avg=9832.49, 90=10015, 99=10095, 99.9=10655, 99.99=11863] 
2020-03-23 06:36:10:011 531 sec: 54129 operations; 101.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1013, Max=10711, Min=9416, Avg=9856, 90=10023, 99=10231, 99.9=10551, 99.99=10711] 
2020-03-23 06:36:20:011 541 sec: 55144 operations; 101.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1014, Max=11567, Min=9448, Avg=9837.3, 90=10023, 99=10143, 99.9=10319, 99.99=11567] 
2020-03-23 06:36:30:011 551 sec: 56159 operations; 101.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1015, Max=11559, Min=9424, Avg=9839.74, 90=10015, 99=10103, 99.9=10263, 99.99=11559] 
2020-03-23 06:36:40:012 561 sec: 57175 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=10223, Min=9344, Avg=9823.52, 90=10007, 99=10119, 99.9=10159, 99.99=10223] 
2020-03-23 06:36:50:011 571 sec: 58190 operations; 101.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1015, Max=12231, Min=9496, Avg=9832.84, 90=10007, 99=10087, 99.9=10231, 99.99=12231] 
2020-03-23 06:37:00:011 581 sec: 59208 operations; 101.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1018, Max=12183, Min=9376, Avg=9809.42, 90=9999, 99=10095, 99.9=10671, 99.99=12183] 
2020-03-23 06:37:10:012 591 sec: 60224 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=20047, Min=9424, Avg=9824.97, 90=9999, 99=10343, 99.9=11711, 99.99=20047] 
2020-03-23 06:37:20:011 601 sec: 61247 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20079, Min=9360, Avg=9749.39, 90=9831, 99=9927, 99.9=20031, 99.99=20079] 
2020-03-23 06:37:30:011 611 sec: 62270 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20127, Min=9416, Avg=9767.91, 90=9831, 99=10311, 99.9=19967, 99.99=20127] 
2020-03-23 06:37:40:011 621 sec: 63295 operations; 102.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20495, Min=9336, Avg=9749.66, 90=9831, 99=10479, 99.9=20239, 99.99=20495] 
2020-03-23 06:37:50:011 631 sec: 64322 operations; 102.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1027, Max=20111, Min=9208, Avg=9726.11, 90=9831, 99=10055, 99.9=20015, 99.99=20111] 
2020-03-23 06:38:00:011 641 sec: 65347 operations; 102.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20415, Min=9368, Avg=9748.73, 90=9831, 99=10271, 99.9=20031, 99.99=20415] 
2020-03-23 06:38:10:011 651 sec: 66369 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20111, Min=9288, Avg=9771.93, 90=9839, 99=10519, 99.9=20095, 99.99=20111] 
2020-03-23 06:38:20:011 661 sec: 67396 operations; 102.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1027, Max=19983, Min=9328, Avg=9726.8, 90=9823, 99=10023, 99.9=12023, 99.99=19983] 
2020-03-23 06:38:30:011 671 sec: 68422 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1026, Max=20095, Min=9384, Avg=9737.51, 90=9831, 99=10191, 99.9=20015, 99.99=20095] 
2020-03-23 06:38:40:011 681 sec: 69439 operations; 101.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1017, Max=20063, Min=9360, Avg=9821.35, 90=9839, 99=12047, 99.9=20047, 99.99=20063] 
2020-03-23 06:38:50:011 691 sec: 70463 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20111, Min=9408, Avg=9752.46, 90=9831, 99=10199, 99.9=19951, 99.99=20111] 
2020-03-23 06:39:00:011 701 sec: 71491 operations; 102.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1028, Max=20191, Min=9168, Avg=9718.63, 90=9823, 99=10167, 99.9=20159, 99.99=20191] 
2020-03-23 06:39:10:011 711 sec: 72513 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20143, Min=9384, Avg=9778.54, 90=9839, 99=10663, 99.9=20047, 99.99=20143] 
2020-03-23 06:39:20:011 721 sec: 73532 operations; 101.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1019, Max=20095, Min=9384, Avg=9800.58, 90=9839, 99=11999, 99.9=20047, 99.99=20095] 
2020-03-23 06:39:30:011 731 sec: 74558 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1026, Max=20015, Min=9384, Avg=9739.58, 90=9823, 99=10007, 99.9=19887, 99.99=20015] 
2020-03-23 06:39:40:011 741 sec: 75580 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20127, Min=9360, Avg=9776.91, 90=9839, 99=11559, 99.9=20095, 99.99=20127] 
2020-03-23 06:39:50:011 751 sec: 76602 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20031, Min=9328, Avg=9775.16, 90=9831, 99=10103, 99.9=20015, 99.99=20031] 
2020-03-23 06:40:00:011 761 sec: 77624 operations; 102.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1022, Max=20175, Min=9376, Avg=9766.35, 90=9839, 99=10127, 99.9=20159, 99.99=20175] 
