/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 05:51:44:310 0 sec: 0 operations; est completion in 0 second 
2020-03-23 05:51:54:294 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 05:52:04:293 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 05:52:14:293 1 sec: 133 operations; 13.3 current ops/sec; est completion in 1 day 5 hours [READ: Count=133, Max=14119, Min=9544, Avg=10279.61, 90=10711, 99=13743, 99.9=14119, 99.99=14119] 
2020-03-23 05:52:24:293 11 sec: 1147 operations; 101.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1014, Max=10655, Min=9160, Avg=9812.82, 90=10127, 99=10351, 99.9=10615, 99.99=10655] 
2020-03-23 05:52:34:293 21 sec: 2159 operations; 101.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1012, Max=19359, Min=9176, Avg=9834.01, 90=10087, 99=10263, 99.9=11567, 99.99=19359] 
2020-03-23 05:52:44:293 31 sec: 3170 operations; 101.1 current ops/sec; est completion in 1 day 3 hours [READ: Count=1011, Max=10655, Min=9296, Avg=9860.51, 90=10087, 99=10335, 99.9=10567, 99.99=10655] 
2020-03-23 05:52:54:293 41 sec: 4187 operations; 101.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1017, Max=17055, Min=9296, Avg=9794.07, 90=10015, 99=10151, 99.9=10351, 99.99=17055] 
2020-03-23 05:53:04:293 51 sec: 5203 operations; 101.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=10703, Min=9376, Avg=9814.09, 90=9999, 99=10103, 99.9=10623, 99.99=10703] 
2020-03-23 05:53:14:293 61 sec: 6221 operations; 101.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1018, Max=20063, Min=9288, Avg=9788.49, 90=9967, 99=10175, 99.9=15983, 99.99=20063] 
2020-03-23 05:53:24:293 71 sec: 7250 operations; 102.9 current ops/sec; est completion in 1 day 3 hours [READ: Count=1029, Max=20143, Min=8984, Avg=9693.96, 90=9807, 99=10183, 99.9=20063, 99.99=20143] 
2020-03-23 05:53:34:293 81 sec: 8275 operations; 102.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20095, Min=9192, Avg=9734.73, 90=9791, 99=11807, 99.9=19999, 99.99=20095] 
2020-03-23 05:53:44:293 91 sec: 9302 operations; 102.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1027, Max=20047, Min=9232, Avg=9718.25, 90=9783, 99=10623, 99.9=20031, 99.99=20047] 
2020-03-23 05:53:54:293 101 sec: 10330 operations; 102.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1028, Max=20063, Min=9080, Avg=9716.24, 90=9799, 99=9943, 99.9=19935, 99.99=20063] 
