/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 04:06:26:665 0 sec: 0 operations; est completion in 0 second 
2020-03-23 04:06:36:649 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 04:06:46:649 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 04:06:56:649 1 sec: 132 operations; 13.2 current ops/sec; est completion in 1 day 5 hours [READ: Count=132, Max=13311, Min=9688, Avg=10232.3, 90=10527, 99=13119, 99.9=13311, 99.99=13311] 
2020-03-23 04:07:06:649 11 sec: 1137 operations; 100.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1005, Max=19775, Min=9296, Avg=9897.47, 90=10175, 99=10591, 99.9=11471, 99.99=19775] 
2020-03-23 04:07:16:648 21 sec: 2149 operations; 101.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1012, Max=19007, Min=9232, Avg=9837.6, 90=10047, 99=10263, 99.9=10599, 99.99=19007] 
2020-03-23 04:07:26:649 31 sec: 3176 operations; 102.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1027, Max=20671, Min=9104, Avg=9706.03, 90=9847, 99=10103, 99.9=19983, 99.99=20671] 
2020-03-23 04:07:36:649 41 sec: 4199 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20111, Min=9152, Avg=9728.91, 90=9831, 99=10367, 99.9=19999, 99.99=20111] 
2020-03-23 04:07:46:649 51 sec: 5223 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=19967, Min=9352, Avg=9735.61, 90=9823, 99=9991, 99.9=19807, 99.99=19967] 
2020-03-23 04:07:56:649 61 sec: 6238 operations; 101.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1016, Max=20047, Min=9336, Avg=9812.6, 90=9823, 99=12015, 99.9=20015, 99.99=20047] 
2020-03-23 04:08:06:649 71 sec: 7278 operations; 104 current ops/sec; est completion in 1 day 3 hours [READ: Count=1039, Max=20031, Min=8992, Avg=9599.96, 90=9791, 99=10199, 99.9=19887, 99.99=20031] 
2020-03-23 04:08:16:649 81 sec: 8299 operations; 102.1 current ops/sec; est completion in 1 day 3 hours [READ: Count=1021, Max=20239, Min=9328, Avg=9779.96, 90=9815, 99=11951, 99.9=20047, 99.99=20239] 
2020-03-23 04:08:26:649 91 sec: 9325 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1026, Max=20047, Min=9328, Avg=9726.97, 90=9807, 99=10191, 99.9=20015, 99.99=20047] 
2020-03-23 04:08:36:649 101 sec: 10352 operations; 102.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1027, Max=20047, Min=9264, Avg=9718.98, 90=9799, 99=10183, 99.9=19887, 99.99=20047] 
2020-03-23 04:08:46:649 111 sec: 11376 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20063, Min=9264, Avg=9747.14, 90=9799, 99=10183, 99.9=20047, 99.99=20063] 
2020-03-23 04:08:56:649 121 sec: 12402 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1026, Max=19967, Min=9352, Avg=9726.86, 90=9807, 99=9935, 99.9=19935, 99.99=19967] 
2020-03-23 04:09:06:649 131 sec: 13425 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20111, Min=9352, Avg=9762.74, 90=9815, 99=11239, 99.9=20063, 99.99=20111] 
2020-03-23 04:09:16:649 141 sec: 14453 operations; 102.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1028, Max=20095, Min=9016, Avg=9708.85, 90=9807, 99=11991, 99.9=19983, 99.99=20095] 
2020-03-23 04:09:26:649 151 sec: 15477 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=20015, Min=9360, Avg=9749.03, 90=9807, 99=10127, 99.9=19903, 99.99=20015] 
2020-03-23 04:09:36:649 161 sec: 16502 operations; 102.5 current ops/sec; est completion in 1 day 3 hours [READ: Count=1025, Max=20063, Min=9360, Avg=9737.32, 90=9807, 99=10135, 99.9=20047, 99.99=20063] 
2020-03-23 04:09:46:649 171 sec: 17528 operations; 102.6 current ops/sec; est completion in 1 day 3 hours [READ: Count=1026, Max=19999, Min=9392, Avg=9724.98, 90=9799, 99=9943, 99.9=19935, 99.99=19999] 
