/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 04:41:32:518 0 sec: 0 operations; est completion in 0 second 
2020-03-23 04:41:42:502 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 04:41:52:502 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 04:42:02:502 1 sec: 124 operations; 12.4 current ops/sec; est completion in 1 day 5 hours [READ: Count=124, Max=15775, Min=9688, Avg=10117.68, 90=10247, 99=15647, 99.9=15775, 99.99=15775] 
2020-03-23 04:42:12:502 11 sec: 1142 operations; 101.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1018, Max=10991, Min=9208, Avg=9768.74, 90=9959, 99=10351, 99.9=10687, 99.99=10991] 
2020-03-23 04:42:22:502 21 sec: 2170 operations; 102.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1028, Max=18367, Min=9032, Avg=9698.25, 90=9887, 99=10079, 99.9=13903, 99.99=18367] 
2020-03-23 04:42:32:502 31 sec: 3198 operations; 102.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1028, Max=11719, Min=9144, Avg=9689.42, 90=9863, 99=10031, 99.9=10551, 99.99=11719] 
2020-03-23 04:42:42:502 41 sec: 4228 operations; 103 current ops/sec; est completion in 1 day 3 hours [READ: Count=1030, Max=20015, Min=9024, Avg=9671.16, 90=9799, 99=10231, 99.9=19775, 99.99=20015] 
2020-03-23 04:42:52:502 51 sec: 5252 operations; 102.4 current ops/sec; est completion in 1 day 3 hours [READ: Count=1024, Max=19935, Min=9336, Avg=9723.95, 90=9799, 99=10143, 99.9=19663, 99.99=19935] 
2020-03-23 04:43:02:502 61 sec: 6279 operations; 102.7 current ops/sec; est completion in 1 day 3 hours [READ: Count=1027, Max=19855, Min=9168, Avg=9707.16, 90=9799, 99=10199, 99.9=16559, 99.99=19855] 
2020-03-23 04:43:12:502 71 sec: 7312 operations; 103.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1033, Max=19967, Min=9032, Avg=9664.94, 90=9775, 99=10199, 99.9=19967, 99.99=19967] 
2020-03-23 04:43:22:502 81 sec: 8335 operations; 102.3 current ops/sec; est completion in 1 day 3 hours [READ: Count=1023, Max=20111, Min=9312, Avg=9755.3, 90=9791, 99=12023, 99.9=20063, 99.99=20111] 
2020-03-23 04:43:32:502 91 sec: 9367 operations; 103.2 current ops/sec; est completion in 1 day 3 hours [READ: Count=1032, Max=19759, Min=9048, Avg=9666.63, 90=9775, 99=9975, 99.9=19663, 99.99=19759] 
2020-03-23 04:43:42:502 101 sec: 10397 operations; 103 current ops/sec; est completion in 1 day 3 hours [READ: Count=1030, Max=20143, Min=9312, Avg=9694.83, 90=9775, 99=10215, 99.9=20015, 99.99=20143] 
2020-03-23 04:43:52:502 111 sec: 11425 operations; 102.8 current ops/sec; est completion in 1 day 3 hours [READ: Count=1028, Max=19983, Min=9256, Avg=9702.63, 90=9783, 99=10103, 99.9=16183, 99.99=19983] 
