/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2400 secs
2020-04-06 21:42:36:998 0 sec: 0 operations; est completion in 0 second 
2020-04-06 21:42:46:982 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:42:56:981 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-04-06 21:43:06:981 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:43:16:981 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:43:26:981 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:43:36:981 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:43:46:981 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-04-06 21:43:56:981 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:44:06:981 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:44:16:982 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:44:26:981 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:44:36:981 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:44:46:981 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:44:56:981 140 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:45:06:981 150 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:45:16:981 160 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:45:26:981 170 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:45:36:981 180 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:45:46:981 190 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:45:56:981 200 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:46:06:981 210 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:46:16:981 220 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:46:26:981 230 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:46:36:981 240 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:46:46:981 250 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:46:56:981 260 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:47:06:981 270 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:47:16:981 280 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:47:26:981 290 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:47:36:981 300 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:47:46:981 310 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:47:56:981 320 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:48:06:981 330 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:48:16:981 340 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:48:26:981 350 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:48:36:981 360 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:48:46:981 370 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-04-06 21:48:56:981 380 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-04-06 21:49:06:981 7 sec: 1176 operations; 117.6 current ops/sec; est completion in 18 hours 10 minutes [READ: Count=1176, Max=14263, Min=5808, Avg=6454.96, 90=6739, 99=7519, 99.9=10671, 99.99=14263] 
2020-04-06 21:49:16:983 17 sec: 2736 operations; 156 current ops/sec; est completion in 17 hours 57 minutes [READ: Count=1560, Max=14479, Min=5704, Avg=6371.67, 90=6579, 99=6871, 99.9=14399, 99.99=14479] 
2020-04-06 21:49:26:982 27 sec: 4310 operations; 157.4 current ops/sec; est completion in 17 hours 50 minutes [READ: Count=1574, Max=14071, Min=5740, Avg=6318.89, 90=6551, 99=6731, 99.9=6923, 99.99=14071] 
2020-04-06 21:49:36:981 37 sec: 5887 operations; 157.7 current ops/sec; est completion in 17 hours 46 minutes [READ: Count=1577, Max=7163, Min=5496, Avg=6310.32, 90=6547, 99=6699, 99.9=7123, 99.99=7163] 
2020-04-06 21:49:46:981 47 sec: 7458 operations; 157.1 current ops/sec; est completion in 17 hours 45 minutes [READ: Count=1571, Max=19343, Min=5772, Avg=6344.13, 90=6491, 99=7119, 99.9=17455, 99.99=19343] 
2020-04-06 21:49:56:981 57 sec: 9025 operations; 156.7 current ops/sec; est completion in 17 hours 44 minutes [READ: Count=1568, Max=24367, Min=5668, Avg=6362.72, 90=6499, 99=9471, 99.9=18863, 99.99=24367] 
2020-04-06 21:50:06:981 67 sec: 10598 operations; 157.3 current ops/sec; est completion in 17 hours 43 minutes [READ: Count=1572, Max=19311, Min=5808, Avg=6341.24, 90=6495, 99=8607, 99.9=15151, 99.99=19311] 
2020-04-06 21:50:16:981 77 sec: 12169 operations; 157.1 current ops/sec; est completion in 17 hours 42 minutes [READ: Count=1571, Max=15455, Min=5772, Avg=6347.75, 90=6507, 99=7191, 99.9=15295, 99.99=15455] 
2020-04-06 21:50:26:982 87 sec: 13749 operations; 158 current ops/sec; est completion in 17 hours 41 minutes [READ: Count=1580, Max=15399, Min=5852, Avg=6313.79, 90=6507, 99=6711, 99.9=13711, 99.99=15399] 
2020-04-06 21:50:36:981 97 sec: 15322 operations; 157.3 current ops/sec; est completion in 17 hours 41 minutes [READ: Count=1573, Max=17647, Min=5640, Avg=6340.25, 90=6503, 99=6751, 99.9=15527, 99.99=17647] 
2020-04-06 21:50:46:981 107 sec: 16889 operations; 156.7 current ops/sec; est completion in 17 hours 40 minutes [READ: Count=1567, Max=15943, Min=5744, Avg=6364.02, 90=6527, 99=8983, 99.9=14255, 99.99=15943] 
2020-04-06 21:50:56:981 117 sec: 18466 operations; 157.7 current ops/sec; est completion in 17 hours 40 minutes [READ: Count=1578, Max=15167, Min=5620, Avg=6323.79, 90=6507, 99=7223, 99.9=11831, 99.99=15167] 
2020-04-06 21:51:06:981 127 sec: 20048 operations; 158.2 current ops/sec; est completion in 17 hours 39 minutes [READ: Count=1581, Max=14895, Min=5768, Avg=6305.47, 90=6483, 99=6711, 99.9=13103, 99.99=14895] 
2020-04-06 21:51:16:981 137 sec: 21628 operations; 158 current ops/sec; est completion in 17 hours 38 minutes [READ: Count=1580, Max=18719, Min=5792, Avg=6313.73, 90=6463, 99=8911, 99.9=17471, 99.99=18719] 
2020-04-06 21:51:26:981 147 sec: 23199 operations; 157.1 current ops/sec; est completion in 17 hours 38 minutes [READ: Count=1571, Max=22415, Min=5820, Avg=6347.1, 90=6495, 99=9103, 99.9=18719, 99.99=22415] 
2020-04-06 21:51:36:981 157 sec: 24767 operations; 156.8 current ops/sec; est completion in 17 hours 38 minutes [READ: Count=1569, Max=23247, Min=5656, Avg=6358.83, 90=6511, 99=8959, 99.9=18271, 99.99=23247] 
2020-04-06 21:51:46:981 167 sec: 26345 operations; 157.8 current ops/sec; est completion in 17 hours 38 minutes [READ: Count=1577, Max=24223, Min=5816, Avg=6321.49, 90=6499, 99=6711, 99.9=13311, 99.99=24223] 
2020-04-06 21:51:56:981 177 sec: 27931 operations; 158.6 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1586, Max=12583, Min=5824, Avg=6289.04, 90=6475, 99=6679, 99.9=11695, 99.99=12583] 
2020-04-06 21:52:06:981 187 sec: 29518 operations; 158.7 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1587, Max=9191, Min=5688, Avg=6283.98, 90=6467, 99=6691, 99.9=9127, 99.99=9191] 
2020-04-06 21:52:16:981 197 sec: 31097 operations; 157.9 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1579, Max=12103, Min=5828, Avg=6317.82, 90=6507, 99=6671, 99.9=11671, 99.99=12103] 
2020-04-06 21:52:26:981 207 sec: 32676 operations; 157.9 current ops/sec; est completion in 17 hours 35 minutes [READ: Count=1579, Max=11735, Min=5700, Avg=6316.44, 90=6491, 99=6959, 99.9=11703, 99.99=11735] 
2020-04-06 21:52:36:981 217 sec: 34265 operations; 158.9 current ops/sec; est completion in 17 hours 35 minutes [READ: Count=1590, Max=14103, Min=5704, Avg=6273.32, 90=6411, 99=8163, 99.9=14063, 99.99=14103] 
2020-04-06 21:52:46:981 227 sec: 35865 operations; 160 current ops/sec; est completion in 17 hours 34 minutes [READ: Count=1599, Max=14127, Min=5472, Avg=6235.48, 90=6379, 99=9031, 99.9=13991, 99.99=14127] 
